실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,7,-0.6777213812,1.993056178,1.204224706,2.902344942,-3.53718257,0.1474614292
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,8,-0.65924716,2.036500931,1.191252708,2.902350903,-3.537185669,0.1516199112
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,9,-0.65924716,2.036500931,1.191252708,2.902350903,-3.537185669,0.1516199112
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,8,10,-0.6442832947,2.025013208,1.202189922,2.902349949,-3.537185192,0.1509493738
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,1,-0.7573032975,1.984846711,1.200470567,2.902348518,-3.537184477,0.1499221921
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,2,-0.7587606907,1.980337262,1.190752506,2.902346849,-3.537183523,0.1487660259
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,3,-0.7587606907,1.980337262,1.190752506,2.902346849,-3.537183523,0.1487660259
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,4,-0.7359489799,2.02872777,1.219689727,2.902346134,-3.537183285,0.1482848823
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,5,-0.7360162735,2.011219025,1.222719669,2.902350903,-3.537185431,0.1515377313
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,6,-0.7360162735,2.011219025,1.222719669,2.902350903,-3.537185431,0.1515377313
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,7,-0.7353400588,1.995859146,1.214223504,2.902348757,-3.537184477,0.1500827968
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,8,-0.7353400588,1.995859146,1.214223504,2.902348757,-3.537184477,0.1500827968
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,9,-0.7145177722,2.036496401,1.218487859,2.902346134,-3.537183285,0.1482770741
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,9,10,-0.7145177722,2.036496401,1.218487859,2.902346134,-3.537183285,0.1482770741
