실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,시각_s,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm,작업물무게_kgf
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,1,6,109.639,-1.1551824808120728,1.3754596710205078,0.6991775035858154,-1.1812817746204018e-07,1.4071628129386227e-07,0.17060552537441254,0.30233922600746155
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,1,7,110.460,-1.108201503753662,1.377245545387268,0.710138738155365,-1.1792735676863231e-07,1.4047706997644127e-07,0.17031550407409668,0.29156479239463806
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,1,8,111.281,-1.008263111114502,1.5793540477752686,0.7524171471595764,-1.3600923409740062e-07,1.620165051008371e-07,0.19643008708953857,0.27062398195266724
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,1,9,112.100,-1.2808890342712402,1.384611964225769,0.5094745755195618,-1.1482426032216608e-07,1.3678059929134179e-07,0.16583389043807983,0.2884822189807892
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,1,10,112.920,-1.3687599897384644,1.5196160078048706,0.5872621536254883,-1.1732537075204164e-07,1.3975997603665746e-07,0.16944609582424164,0.28760918974876404
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,1,114.743,-1.2715132236480713,1.4952914714813232,0.46415337920188904,-1.1615746586812747e-07,1.3836873336003919e-07,0.16775935888290405,0.2884182929992676
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,2,115.563,-1.200012445449829,1.396080732345581,0.5317815542221069,-1.1501664687330049e-07,1.3700977774533385e-07,0.16611173748970032,0.297573447227478
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,3,116.379,-1.1378090381622314,1.3967366218566895,0.7043588161468506,-1.1691960821735847e-07,1.3927660802437458e-07,0.16886006295681,0.29134008288383484
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,4,117.202,-1.1354953050613403,1.3461370468139648,0.6917517185211182,-1.1387237464077771e-07,1.356467009827611e-07,0.16445912420749664,0.2868231534957886
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,5,118.019,-1.092218279838562,1.3458037376403809,0.6053192019462585,-1.1420778633919326e-07,1.36046239163079e-07,0.16494354605674744,0.29008960723876953
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,6,118.839,-1.1332428455352783,1.3579764366149902,0.6467416882514954,-1.1574539371395076e-07,1.378778762273214e-07,0.16716422140598297,0.29571235179901123
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,7,119.662,-1.1583857536315918,1.3617054224014282,0.7025209665298462,-1.1635920316166448e-07,1.3860905312412797e-07,0.16805070638656616,0.28516149520874023
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,8,120.479,-1.1258608102798462,1.3533501625061035,0.6427838802337646,-1.1743220085236317e-07,1.3988722002977738e-07,0.16960036754608154,0.2760646343231201
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,9,121.303,-1.2347036600112915,1.4275110960006714,0.5365586876869202,-1.1507029284985038e-07,1.370736697481334e-07,0.16618920862674713,0.28339970111846924
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,2,10,122.121,-1.3172082901000977,1.510137915611267,0.5947040915489197,-1.1710609015835871e-07,1.3949875210528262e-07,0.1691294014453888,0.2899543046951294
scoop_total133g_09211821_set2,scoop,scoop_total_133g,133,3,1,123.939,-1.0437819957733154,1.326561450958252,0.6643514633178711,-1.1551883716265365e-07,1.37607997885425e-07,0.16683702170848846,0.2980344891548157
