실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,시각_s,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm,작업물무게_kgf
scoop_total32g_09191431_set1,scoop,scoop_total_32g,32,30,10,290.952,-0.5105931162834167,1.7998636960983276,2.450972080230713,-4.5586661144625396e-05,2.377291639277246e-05,0.14545486867427826,1.035675048828125
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,1,351.551,-0.3860247731208801,1.8623275756835938,2.485898971557617,-4.998967415303923e-05,2.606903581181541e-05,0.15950371325016022,1.0024205446243286
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,2,352.372,-0.40734484791755676,1.8250055313110352,2.390876054763794,-4.843949500354938e-05,2.5260636903112754e-05,0.1545575112104416,0.9929864406585693
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,3,353.191,-0.5341777205467224,1.8619740009307861,2.3202459812164307,-4.8603473260300234e-05,2.5346147594973445e-05,0.15508072078227997,1.0017344951629639
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,4,354.013,-0.5169817805290222,1.8587672710418701,2.3744397163391113,-4.841984264203347e-05,2.5250386897823773e-05,0.15449480712413788,1.0156198740005493
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,5,354.832,-0.40473490953445435,1.7968926429748535,2.5233829021453857,-4.862033893004991e-05,2.5354944227728993e-05,0.15513452887535095,1.0065101385116577
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,6,355.654,-0.41265347599983215,1.8213368654251099,2.430718421936035,-4.905657624476589e-05,2.5582436137483455e-05,0.15652644634246826,1.0063304901123047
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,7,356.472,-0.38806238770484924,1.7727832794189453,2.4109580516815186,-4.806793367606588e-05,2.5066870875889435e-05,0.15337194502353668,1.0049629211425781
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,8,357.291,-0.42500537633895874,1.8031824827194214,2.421128273010254,-4.843492934014648e-05,2.525825402699411e-05,0.154542937874794,1.0085145235061646
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,9,358.111,-0.5030128359794617,1.8306390047073364,2.464535713195801,-4.761695527122356e-05,2.4831690097926185e-05,0.1519329994916916,1.004922866821289
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,1,10,358.932,-0.5742640495300293,1.8456865549087524,2.438525676727295,-4.757934220833704e-05,2.481207593518775e-05,0.15181298553943634,0.9902732968330383
scoop_total32g_09191431_set2,scoop,scoop_total_32g,32,2,1,360.751,-0.6157918572425842,1.8844661712646484,2.3398938179016113,-4.960303704137914e-05,2.586740993137937e-05,0.15827006101608276,1.0059374570846558
